iter	Accuracy	MultiClass
0	0.5111615245	1.08381070111	0.5264519056	1.07089301222	0.5336206897	1.05954524233	0.5423774955	1.049627394	4	0.5459165154	1.040119665	5	0.5485934664	1.032115176	0.5394736842	1.027418632
7	0.5430127042	1.02008668588	0.5456896552	1.012779382
9	0.5478221416	1.006679117110	0.5521778584	1.000544962
11	0.5583938294	0.9942579064
12	0.5597096189	0.9887685989
13	0.5621597096	0.9835591185
14	0.563430127	0.9787601583
15	0.5656533575	0.9737774679
16	0.5670598911	0.9702065801
17	0.5666969147	0.9670861911
18	0.5719600726	0.9588857455119	0.5728675136	0.9557703095220	0.575907441	0.95099187872221	0.5715517241	0.951193322	222	0.5757259528	0.94706462323	0.5838475499	0.9387109092424	0.583892922	0.9360379667225	0.5855263158	0.933063913
26	0.5886569873	0.9290677262
27	0.5901088929	0.9265156733
28	0.5914246824	0.9236486817
29	0.5946914701	0.9200292193
30	0.5983212341	0.9169013065331	0.5999546279	0.9133698573232	32	0.594646098	0.9144854333333	0.5969600726	0.9114452343434	0.5977313975	0.9095115353535	0.6004990926	0.906052836	036	0.6045825771	0.902044137	037	0.6061252269	0.89936938	0.38	0.6083030853	0.89719939	0.39	0.6108892922	0.89403440	0.40	0.6127949183	0.89163441	0.41	0.6152450091	0.88854442	0.42	0.6191470054	0.88474443	043	0.6208257713	0.882162444	044	0.6223684211	0.880429445	045	0.6245462795	0.878068446	046	0.62676951	0.8753058044747	0.62853902	0.8726209324448	0.6315335753	0.8703462894949	0.6334845735	0.8681102385050	0.6345281307	0.8654381345151	0.6358439201	0.8638179245252	0.639292196	0.8610271775353	0.6408802178	0.8588537285454	0.6436932849	0.85581255	555	0.6450544465	0.853956056	556	0.6475499093	0.85152085757	0.6511796733	0.84990816
58	0.652722323	0.8474418722
59	0.6551724138	0.8453913273
60	0.6563067151	0.8434242286
61	0.6576225045	0.8409656944
62	0.6588475499	0.8394009912
63	0.6617513612	0.8367635102
64	0.6641560799	0.8343875171
65	0.6655172414	0.8323317636
66	0.6671506352	0.8304371967
67	0.6697822142	0.828115858
68	0.6707803993	0.8257281976
69	0.6728221416	0.8234076033770	0.6744555354	0.8215728491771	0.6767241379	0.8199802827272	0.6780399274	0.8186805757373	0.6802177858	0.8161863974	74	0.6828039927	0.8136546875	75	0.683030853	0.8123900047676	0.6853901996	0.81088196977	0.6858892922	0.8112112579
78	0.6882032668	0.8091315509
79	0.6891107078	0.8080543122
80	0.6905172414	0.8063478215
81	0.6917876588	0.804449237
82	82	0.7001361162	0.7938581483	83	0.7010435572	0.792585338484	0.7016787659	0.7911028228585	0.702722323	0.789613643
86	0.7041288566	0.7876381973
87	0.7050362976	0.7858007354
88	0.7059437387	0.784287834
89	0.7073956443	0.78220284
90	0.7079401089	0.780680887
91	0.711615245	0.778083613
92	0.7137931034	0.7759130552
93	0.7152903811	0.7744272485
94	0.7172413793	0.7724712404
95	0.7190108893	0.7703567798
96	0.7198275862	0.7693337441
97	0.7212794918	0.7675543821
98	0.7230490018	0.7660852204
99	0.7235480944	0.7644482816
100	0.7259528131	0.7623757493
101	0.7269509982	0.7602962745
102	0.727722323	0.759344975
103	0.7289473684	0.7575133961
104	0.7302631579	0.7560012029
105	0.7306715064	0.7548539428
106	106	0.7356624319	0.7496872107	0.7337114338	0.7511486318
108	0.7345735027	0.749126266
109	0.7363430127	0.7472134217
110	0.7382032668	0.7447358094
111	0.7399274047	0.7432768724
112	0.7411524501	0.7416831394
113	0.7423774955	0.7403290052
114	0.742876588	0.7392865698
115	0.7453720508	0.7375942623
116	0.7468239564	0.7352185024
117	0.7477767695	0.733347363
118	0.7486388385	0.7326030024
119	0.7497731397	0.7311204596
120	0.7504990926	0.7297152459
121	0.7533121597	0.727135495
122	0.7548548094	0.7255638549
123	0.7565335753	0.7236336304
124	0.7577586207	0.7222877733
125	0.7591197822	0.7209481587
126	0.7601633394	0.7192327635
127	0.7613430127	0.7174456166
128	0.7623865699	0.7166742715
129	0.7637023593	0.7149923095
130	0.7652450091	0.7137766557
131	0.7665154265	0.7116359025
132	0.7680127042	0.7097836763
133	0.7686479129	0.7089386393
134	0.7694192377	0.7069672402
135	0.7704174229	0.7055021018
136	0.7723684211	0.7035923464
137	0.7733666062	0.7024449056
138	0.7747731397	0.7011084312
139	0.7753629764	0.6991006264
