puuid,riotId,matchId,gameCreation_ms,gameDuration_s,target_role_found,matches_examined,role_density,leagueId,tier,rank,leaguePoints,wins,losses,allInPings,assistMePings,assists,baronKills,basicPings,bountyLevel,challenge_12AssistStreakCount,challenge_abilityUses,challenge_acesBefore15Minutes,challenge_alliedJungleMonsterKills,challenge_baronTakedowns,challenge_blastConeOppositeOpponentCount,challenge_bountyGold,challenge_buffsStolen,challenge_controlWardsPlaced,challenge_damagePerMinute,challenge_damageTakenOnTeamPercentage,challenge_deathsByEnemyChamps,challenge_dodgeSkillShotsSmallWindow,challenge_doubleAces,challenge_dragonTakedowns,challenge_earliestBaron,challenge_earliestDragonTakedown,challenge_earlyLaningPhaseGoldExpAdvantage,challenge_elderDragonKillsWithOpposingSoul,challenge_elderDragonMultikills,challenge_enemyChampionImmobilizations,challenge_enemyJungleMonsterKills,challenge_epicMonsterKillsNearEnemyJungler,challenge_epicMonsterKillsWithin30SecondsOfSpawn,challenge_epicMonsterSteals,challenge_epicMonsterStolenWithoutSmite,challenge_firstTurretKilled,challenge_flawlessAces,challenge_fullTeamTakedown,challenge_gameLength,challenge_getTakedownsInAllLanesEarlyJungleAsLaner,challenge_goldPerMinute,challenge_immobilizeAndKillWithAlly,challenge_initialBuffCount,challenge_initialCrabCount,challenge_jungleCsBefore10Minutes,challenge_junglerTakedownsNearDamagedEpicMonster,challenge_kTurretsDestroyedBeforePlatesFall,challenge_kda,challenge_killAfterHiddenWithAlly,challenge_killParticipation,challenge_killedChampTookFullTeamDamageSurvived,challenge_killingSprees,challenge_killsNearEnemyTurret,challenge_killsOnOtherLanesEarlyJungleAsLaner,challenge_killsOnRecentlyHealedByAramPack,challenge_killsUnderOwnTurret,challenge_killsWithHelpFromEpicMonster,challenge_landSkillShotsEarlyGame,challenge_laneMinionsFirst10Minutes,challenge_laningPhaseGoldExpAdvantage,challenge_lostAnInhibitor,challenge_maxCsAdvantageOnLaneOpponent,challenge_maxKillDeficit,challenge_maxLevelLeadLaneOpponent,challenge_moreEnemyJungleThanOpponent,challenge_multiKillOneSpell,challenge_multiTurretRiftHeraldCount,challenge_multikills,challenge_multikillsAfterAggressiveFlash,challenge_outerTurretExecutesBefore10Minutes,challenge_outnumberedKills,challenge_outnumberedNexusKill,challenge_perfectDragonSoulsTaken,challenge_perfectGame,challenge_pickKillWithAlly,challenge_playedChampSelectPosition,challenge_quickCleanse,challenge_quickFirstTurret,challenge_quickSoloKills,challenge_riftHeraldTakedowns,challenge_saveAllyFromDeath,challenge_scuttleCrabKills,challenge_skillshotsDodged,challenge_skillshotsHit,challenge_snowballsHit,challenge_soloBaronKills,challenge_soloKills,challenge_stealthWardsPlaced,challenge_takedownOnFirstTurret,challenge_takedowns,challenge_takedownsAfterGainingLevelAdvantage,challenge_takedownsBeforeJungleMinionSpawn,challenge_takedownsFirstXMinutes,challenge_teamBaronKills,challenge_teamDamagePercentage,challenge_teamElderDragonKills,challenge_teamRiftHeraldKills,challenge_teleportTakedowns,challenge_tookLargeDamageSurvived,challenge_turretPlatesTaken,challenge_turretTakedowns,challenge_unseenRecalls,challenge_visionScoreAdvantageLaneOpponent,challenge_visionScorePerMinute,challenge_voidMonsterKill,challenge_wardTakedowns,challenge_wardTakedownsBefore20M,challenge_wardsGuarded,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,pushPings,quadraKills,retreatPings,riotIdGameName,riotIdTagline,role,sightWardsBoughtInGame,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced
yFSDGcBQLHQKuMKyoV8WQnhE9jAtBWn8v15oURlrcAn2XUos-zorUmHQxJyukQ43U8ILyyPsGb1lZA,Scoreezy#1738,NA1_5356780226,1756348406419,1533,50,79,0.6329113924050633,292ae346-ff22-485e-b44a-67b9bf198c9a,GOLD,II,45,27,25,0,2,3,0,0,,0,169,0,2,0,0,0.0,0,0,695.2057010301911,0.1625043487624622,3,0,0,0,,,0.0,0,0,10,0,0,0,0,0,0,0,0,1534.019668092,0,362.30824174587286,2,0,0,0.0,0,0,2.0,3,0.46153846153846156,0,0,0,1,0,0,1,28,78,0.0,0,16.0,0,1.0,0,0,0,0,0,0,0,0,0,0,6,1.0,0,0,0,0,0,0,5,155,0,0,0,2,0,6,0,0,1,0,0.27686346764537606,0,0,,0,1,0,0,-0.4254607558250427,0.17753641395847214,0,0,0,0,13736,15,800,Mel,0,0,4,565,565,565,8390,0,3,0,0,0,0,0,False,False,False,False,False,False,0,9263,8925,0,MIDDLE,0,0,3,3,MIDDLE,194,0,1,1042,84708,16359,4892,0,6,0,1,0,0,0,0,8,0,13798,1363,10331,0,0,0,0,Scoreezy,1738,SOLO,0,TProZgWx67pTtj9RS_f0W4Lq62E7aMFr8Ngrhxb725lGACI,388,,False,200,MIDDLE,23,1533,6,98725,17774,0,15491,0,873,202,409,116,0,218,50,267,0,11,0,0,4,1,0,2
yFSDGcBQLHQKuMKyoV8WQnhE9jAtBWn8v15oURlrcAn2XUos-zorUmHQxJyukQ43U8ILyyPsGb1lZA,Scoreezy#1738,NA1_5356690478,1756344089956,989,50,79,0.6329113924050633,292ae346-ff22-485e-b44a-67b9bf198c9a,GOLD,II,45,27,25,0,1,4,0,0,,0,120,0,0,0,0,0.0,0,1,441.67659091442255,0.1350884648722062,1,0,0,0,,,0.0,0,0,4,0,0,0,0,0,1,0,0,994.1078584510001,0,379.2690231759537,1,0,0,0.0,0,0,5.0,0,0.21739130434782608,0,0,0,0,0,0,0,0,60,0.0,0,5.0,0,1.0,0,0,0,0,0,0,0,0,0,0,4,1.0,0,0,1,0,0,0,4,4,0,0,1,2,0,5,0,0,4,0,0.1589084143061252,0,1,,0,3,0,0,0.05730283260345459,0.28106100614237356,0,1,1,0,8901,12,105,Fizz,0,0,5,3544,3544,3544,2925,0,1,1,0,0,0,0,False,False,False,False,False,True,0,6283,5325,0,MIDDLE,0,0,0,1,NONE,0,0,1,185,45747,5324,330,0,0,0,0,0,0,0,0,8,0,10076,1351,6008,0,0,0,0,Scoreezy,1738,SUPPORT,0,TProZgWx67pTtj9RS_f0W4Lq62E7aMFr8Ngrhxb725lGACI,387,,False,200,MIDDLE,5,989,0,59439,7317,0,6339,0,1263,114,73,12,0,3615,642,0,0,0,0,0,4,1,1,3
yFSDGcBQLHQKuMKyoV8WQnhE9jAtBWn8v15oURlrcAn2XUos-zorUmHQxJyukQ43U8ILyyPsGb1lZA,Scoreezy#1738,NA1_5356657097,1756342264894,1430,50,79,0.6329113924050633,292ae346-ff22-485e-b44a-67b9bf198c9a,GOLD,II,45,27,25,0,0,1,0,0,,0,225,0,0,0,0,0.0,0,2,337.5650054815418,0.14171447586164143,6,1,0,1,,1104.602966651,0.0,0,0,0,0,0,0,0,0,0,0,0,1430.531411457,0,287.9883063453853,0,0,0,0.0,0,0,0.16666666666666666,0,0.041666666666666664,0,0,0,0,0,0,0,0,40,0.0,0,4.0,3,1.0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,0,0,0,22,7,0,0,0,6,0,1,0,0,0,0,0.11452225409398971,0,1,,0,3,2,0,0.017981648445129395,0.7194386132800028,0,2,1,0,11780,14,893,Aurora,0,4,7,3156,3473,3156,5515,0,6,2,0,0,2,0,False,False,False,False,False,True,0,6866,6275,0,MIDDLE,0,0,0,0,MIDDLE,0,0,0,361,69763,6790,8674,0,0,0,0,0,0,0,0,8,0,10638,363,3470,0,0,0,0,Scoreezy,1738,SOLO,0,TProZgWx67pTtj9RS_f0W4Lq62E7aMFr8Ngrhxb725lGACI,387,,False,200,MIDDLE,4,1430,0,81297,8048,0,12907,0,676,129,142,149,0,894,894,762,1,3,0,0,17,3,2,8
yFSDGcBQLHQKuMKyoV8WQnhE9jAtBWn8v15oURlrcAn2XUos-zorUmHQxJyukQ43U8ILyyPsGb1lZA,Scoreezy#1738,NA1_5356611974,1756339648092,2029,50,79,0.6329113924050633,292ae346-ff22-485e-b44a-67b9bf198c9a,GOLD,II,45,27,25,0,0,6,1,0,,0,172,0,0,1,0,0.0,0,0,313.96550368527085,0.16117784099178342,3,0,0,0,1939.2042768390002,,0.0,0,0,22,0,0,0,0,0,0,0,0,2029.417631642,0,334.21888942714196,4,0,0,0.0,0,0,2.3333333333333335,0,0.2916666666666667,0,0,0,0,0,0,0,13,71,0.0,0,14.0,0,1.0,0,0,0,0,0,0,0,0,0,0,7,1.0,0,0,0,0,0,0,7,47,0,0,0,6,0,7,0,0,0,1,0.1079047886753307,0,0,,0,0,2,0,-0.6830378770828247,0.2629190141760181,1,2,0,0,16391,16,3,Galio,0,3,2,2648,5158,2648,38383,0,3,0,0,0,1,0,False,False,False,False,False,False,0,11304,10750,0,MIDDLE,0,0,2,1,MIDDLE,0,0,1,1137,160031,10030,7927,0,4,0,1,0,0,0,0,8,0,5934,263,19983,0,0,0,1,Scoreezy,1738,SOLO,0,TProZgWx67pTtj9RS_f0W4Lq62E7aMFr8Ngrhxb725lGACI,387,,False,200,MIDDLE,21,2029,0,171950,10619,780,28374,0,4060,224,81,89,0,5984,325,463,1,10,0,0,8,0,1,6
yFSDGcBQLHQKuMKyoV8WQnhE9jAtBWn8v15oURlrcAn2XUos-zorUmHQxJyukQ43U8ILyyPsGb1lZA,Scoreezy#1738,NA1_5355918271,1756256289441,1647,50,79,0.6329113924050633,292ae346-ff22-485e-b44a-67b9bf198c9a,GOLD,II,45,27,25,0,1,8,0,0,,0,191,0,0,0,0,0.0,0,0,846.6280992643673,0.14663550012812848,4,0,0,1,,1379.9345054960002,0.0,0,0,8,0,0,0,0,0,1,0,3,1647.8010234360002,0,466.6313672556803,4,0,0,0.0,1,0,4.25,4,0.6071428571428571,0,1,3,1,0,1,1,1,58,0.0,0,10.0,1,1.0,0,0,0,0,0,0,2,0,0,0,9,1.0,0,0,0,0,0,0,53,7,0,0,2,8,0,17,0,0,6,0,0.22851782924362246,0,0,,0,4,3,0,0.004005789756774902,0.5413727813129726,0,0,0,0,13493,15,105,Fizz,0,4,7,7174,8587,7174,9718,0,4,0,0,0,4,0,False,False,False,False,False,True,0,12815,10800,0,MIDDLE,0,0,0,9,MIDDLE,0,4,1,546,87610,18746,6403,0,0,0,0,0,0,0,18,3,0,14356,2676,9171,0,0,0,0,Scoreezy,1738,DUO,0,TProZgWx67pTtj9RS_f0W4Lq62E7aMFr8Ngrhxb725lGACI,387,,False,100,MIDDLE,10,1647,0,108712,23251,0,16764,0,4274,162,111,95,0,6745,1828,1189,1,3,0,0,14,0,0,8
yFSDGcBQLHQKuMKyoV8WQnhE9jAtBWn8v15oURlrcAn2XUos-zorUmHQxJyukQ43U8ILyyPsGb1lZA,Scoreezy#1738,NA1_5355888939,1756254001945,1798,50,79,0.6329113924050633,292ae346-ff22-485e-b44a-67b9bf198c9a,GOLD,II,45,27,25,0,0,17,0,0,,0,140,0,1,0,0,119.45001220703125,0,3,693.0890211776015,0.1801844364416125,7,0,0,2,,1379.194006983,0.0,0,0,33,0,1,0,0,0,0,0,4,1798.20515391,0,373.2693685613495,12,0,0,2.0,0,0,3.0,5,0.5675675675675675,0,0,0,0,0,0,0,6,54,0.0,0,52.400000005960464,7,2.0,0,0,0,0,0,0,0,0,0,0,15,1.0,0,0,0,0,0,0,10,30,0,0,0,9,0,21,0,0,7,0,0.18008369586063075,0,0,,0,0,4,0,-0.03648906946182251,0.8901098970756722,1,3,2,0,14958,16,3,Galio,0,3,6,4510,11588,4510,23301,0,7,3,0,0,0,0,False,False,False,False,False,False,0,11186,10700,0,MIDDLE,0,2,0,4,MIDDLE,0,0,1,725,119859,18308,8139,0,2,0,0,0,0,0,2,3,0,6024,237,10188,0,0,0,0,Scoreezy,1738,SOLO,0,TProZgWx67pTtj9RS_f0W4Lq62E7aMFr8Ngrhxb725lGACI,387,,False,100,MIDDLE,29,1798,0,133667,20771,749,20051,0,1746,173,88,149,0,7782,2225,1723,0,3,0,0,26,4,3,12
yFSDGcBQLHQKuMKyoV8WQnhE9jAtBWn8v15oURlrcAn2XUos-zorUmHQxJyukQ43U8ILyyPsGb1lZA,Scoreezy#1738,NA1_5355859177,1756251746905,1831,50,79,0.6329113924050633,292ae346-ff22-485e-b44a-67b9bf198c9a,GOLD,II,45,27,25,0,1,3,0,0,,0,129,0,2,0,0,485.324462890625,0,0,563.4745127983247,0.18463084328982798,8,0,0,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,1836.906161997,0,335.6680465673167,0,0,0,0.0,0,0,0.875,1,0.3333333333333333,0,0,1,0,0,1,1,10,67,0.0,0,18.0,0,1.0,0,0,0,0,0,0,0,0,0,0,4,1.0,0,0,0,0,0,0,10,53,0,0,1,6,0,7,0,0,3,0,0.19964203139554412,0,1,,0,2,0,0,-0.1604170799255371,0.4024969962769888,0,3,3,1,12015,14,166,Akshan,0,3,3,849,849,849,15545,0,8,0,0,0,15,0,False,False,False,False,False,True,0,10276,9750,0,MIDDLE,0,0,2,4,MIDDLE,490,0,1,477,5788,783,10649,0,4,0,2,0,0,0,5,8,0,109286,15728,13522,0,0,0,2,Scoreezy,1738,SOLO,0,TProZgWx67pTtj9RS_f0W4Lq62E7aMFr8Ngrhxb725lGACI,387,,False,200,MIDDLE,0,1831,2,126465,17250,0,24684,0,3505,166,0,284,0,11390,738,513,0,10,0,0,12,0,3,6
yFSDGcBQLHQKuMKyoV8WQnhE9jAtBWn8v15oURlrcAn2XUos-zorUmHQxJyukQ43U8ILyyPsGb1lZA,Scoreezy#1738,NA1_5355835349,1756249816321,1508,50,79,0.6329113924050633,292ae346-ff22-485e-b44a-67b9bf198c9a,GOLD,II,45,27,25,0,1,6,0,0,,0,119,0,0,0,0,0.0,0,0,418.43476516481195,0.13908508724999263,3,0,0,0,,,0.0,0,0,0,0,0,0,0,0,0,2,3,1508.3073281630002,0,370.1287398138723,0,0,0,0.0,0,0,3.0,1,0.3103448275862069,0,0,1,0,0,0,0,7,64,0.0,0,25.0,8,1.0,0,0,0,0,0,0,2,0,0,0,5,1.0,0,0,0,0,0,0,24,34,0,0,2,7,0,9,0,0,2,0,0.12047139538973227,0,0,,0,0,3,0,-0.15298879146575928,0.550019439032553,0,2,1,2,12682,14,166,Akshan,0,2,4,2684,5503,2684,8650,0,3,0,0,0,0,0,False,False,False,False,False,False,0,9304,8050,0,MIDDLE,0,0,0,3,MIDDLE,371,0,1,547,22850,1981,9837,1,0,1,0,1,0,0,1,8,0,73342,8190,5561,0,0,0,0,Scoreezy,1738,SOLO,0,TProZgWx67pTtj9RS_f0W4Lq62E7aMFr8Ngrhxb725lGACI,387,,False,200,MIDDLE,0,1508,0,115707,10518,0,15766,0,3104,160,0,93,0,19514,347,366,2,3,0,0,13,0,2,7
yFSDGcBQLHQKuMKyoV8WQnhE9jAtBWn8v15oURlrcAn2XUos-zorUmHQxJyukQ43U8ILyyPsGb1lZA,Scoreezy#1738,NA1_5355148272,1756164800806,2408,50,79,0.6329113924050633,292ae346-ff22-485e-b44a-67b9bf198c9a,GOLD,II,45,27,25,0,0,7,0,0,,0,200,0,0,0,0,0.0,0,2,708.0798111069715,0.10775485141693811,6,3,0,2,,1434.326584418,0.0,0,0,20,0,0,0,0,0,1,0,2,2408.9756613500003,0,406.4416112324081,12,0,0,0.0,1,0,2.8333333333333335,2,0.4146341463414634,0,2,0,0,0,0,2,13,79,0.0,1,23.0,1,1.0,0,0,0,3,0,0,1,0,0,0,10,1.0,0,0,0,1,0,0,54,187,0,0,0,10,0,17,0,0,0,0,0.20228996107035327,0,1,,0,1,2,0,-0.314470112323761,0.7192323792668894,1,3,3,1,20070,18,800,Mel,0,5,7,3507,14695,3507,7585,0,6,2,2,0,4,0,False,False,False,False,False,False,0,16318,15150,0,MIDDLE,0,0,1,10,MIDDLE,808,5,3,1007,150415,27719,4314,0,0,0,0,0,0,0,0,8,0,16286,709,14969,0,0,0,4,Scoreezy,1738,SOLO,0,TProZgWx67pTtj9RS_f0W4Lq62E7aMFr8Ngrhxb725lGACI,387,,False,200,MIDDLE,34,2408,0,173798,28429,0,20484,0,1962,254,510,268,1,7096,0,1200,2,5,0,0,28,2,3,13
yFSDGcBQLHQKuMKyoV8WQnhE9jAtBWn8v15oURlrcAn2XUos-zorUmHQxJyukQ43U8ILyyPsGb1lZA,Scoreezy#1738,NA1_5354405935,1756074393826,1755,50,79,0.6329113924050633,292ae346-ff22-485e-b44a-67b9bf198c9a,GOLD,II,45,27,25,0,1,15,0,0,,0,165,0,0,0,0,0.0,0,1,678.3780033175834,0.18502019942575798,6,0,0,1,1646.4007429800001,600.1344536910001,0.0,0,0,39,7,0,0,0,0,0,1,0,1755.965139162,0,408.9042016973992,11,0,0,0.0,0,0,3.0,1,0.4090909090909091,0,0,1,0,0,0,0,10,56,0.0,0,16.0,1,3.0,0,0,0,0,0,0,0,0,0,0,12,1.0,0,0,0,0,0,0,11,32,0,0,1,8,0,18,0,0,9,1,0.15378906398013104,0,1,,0,1,5,0,0.06602597236633301,0.5693599534302384,0,1,1,0,17298,17,3,Galio,0,4,7,6786,7333,6786,26828,0,6,1,0,0,3,0,True,False,False,False,False,True,0,11967,9600,0,MIDDLE,3,4,0,3,MIDDLE,0,2,1,402,136455,18899,8739,0,8,0,0,2,0,0,0,3,0,5573,850,12334,0,0,0,0,Scoreezy,1738,SOLO,0,TProZgWx67pTtj9RS_f0W4Lq62E7aMFr8Ngrhxb725lGACI,386,,False,100,MIDDLE,38,1755,0,142483,19853,377,23481,8,4538,159,144,135,0,455,104,2408,1,1,0,0,16,2,1,9
