iter	RMSE
0	776.5770956
1	775.0540326
2	773.4284678
3	771.9058304
4	770.2968335
5	768.6373539
6	767.0178012
7	765.4571662
8	764.0748931
9	762.6268503
10	761.1240659
11	759.7504873
12	758.4054421
13	757.0363186
14	755.7101449
15	754.2556665
16	752.9096093
17	751.5885685
18	750.2589599
19	748.8891972
20	747.5492229
21	746.2472365
22	745.0617746
23	743.8091368
24	742.5976834
25	741.4048502
26	740.2356638
27	739.0272923
28	737.8800085
29	736.7920612
30	735.7075462
31	734.5633326
32	733.4818813
33	732.3639524
34	731.2878784
35	730.2676883
36	729.1958651
37	728.1165306
38	727.0556458
39	726.1300164
40	725.0870726
41	724.1539669
42	723.1684818
43	722.1892114
44	721.1867343
45	720.3076866
46	719.4393466
47	718.6179892
48	717.746798
49	716.7889644
50	715.910612
51	715.0191829
52	714.1496279
53	713.3181637
54	712.4484018
55	711.6011086
56	710.7302358
57	709.8632164
58	708.9897132
59	708.2080283
60	707.399214
61	706.6127466
62	705.7951834
63	704.9243986
64	704.1450478
65	703.3366756
66	702.6040077
67	701.8315461
68	701.0657658
69	700.2793556
70	699.5044158
71	698.79195
72	698.0564651
73	697.3149035
74	696.6211019
75	695.9583374
76	695.354136
77	694.6428675
78	693.9348573
79	693.268897
80	692.6152028
81	691.9365578
82	691.3437195
83	690.6609604
84	690.0082448
85	689.4067709
86	688.7880669
87	688.2221477
88	687.6256494
89	687.0163381
90	686.4112319
91	685.7932896
92	685.1947534
93	684.5809481
94	683.9651432
95	683.348241
96	682.7732404
97	682.2176474
98	681.6469703
99	681.1068529
100	680.5020808
101	679.926263
102	679.3541273
103	678.7799041
104	678.2938819
105	677.7949761
106	677.2893884
107	676.7930181
108	676.2733585
109	675.7361293
110	675.1574097
111	674.6639605
112	674.1258866
113	673.628766
114	673.0929984
115	672.593522
116	672.1030895
117	671.6171693
118	671.1351588
119	670.6489857
120	670.1453993
121	669.6141717
122	669.0615029
123	668.5946874
124	668.124366
125	667.6167019
126	667.1497551
127	666.6793876
128	666.1748026
129	665.7218933
130	665.2773339
131	664.9004293
132	664.4850553
133	664.0471129
134	663.5967455
135	663.170752
136	662.7792243
137	662.3437091
138	661.904399
139	661.4624798
140	661.0140213
141	660.6074552
142	660.2157835
143	659.8063111
144	659.3635823
145	658.9923348
146	658.5645339
147	658.1366142
148	657.7470257
149	657.3654058
150	656.9742383
